freq	mag(K)
5.18999999999999950E7	1.02767598479419210E-1
5.20000000000000020E7	1.02319012741792800E-1
5.21000000000000000E7	1.01876020335426220E-1
5.22000000000000060E7	1.01438517279875450E-1
5.22999999999999950E7	1.01006402155629350E-1
5.24000000000000020E7	1.00579576025763200E-1
5.25000000000000000E7	1.00157942360452750E-1
5.25999999999999980E7	9.97414069642233340E-2
5.27000000000000050E7	9.93298779058229900E-2
5.27999999999999940E7	9.89232654506064970E-2
5.29000000000000000E7	9.85214819953294450E-2
5.29999999999999980E7	9.81244420052489370E-2
5.31000000000000050E7	9.77320619534403790E-2
5.32000000000000030E7	9.73442602622360550E-2
5.33000000000000010E7	9.69609572467022220E-2
5.33999999999999990E7	9.65820750600710910E-2
5.34999999999999960E7	9.62075376410491860E-2
5.36000000000000030E7	9.58372706629281270E-2
5.37000000000000010E7	9.54712014844253430E-2
5.37999999999999990E7	9.51092591021877000E-2
5.38999999999999970E7	9.47513741048909000E-2
5.40000000000000040E7	9.43974786288747580E-2
5.41000000000000010E7	9.40475063152529240E-2
5.41999999999999990E7	9.37013922684410790E-2
5.42999999999999970E7	9.33590730160491590E-2
5.43999999999999950E7	9.30204864700850460E-2
5.45000000000000020E7	9.26855718894204910E-2
5.46000000000000000E7	9.23542698434716240E-2
5.47000000000000060E7	9.20265221770476320E-2
5.47999999999999950E7	9.17022719763257220E-2
5.49000000000000020E7	9.13814635359081960E-2
5.50000000000000000E7	9.10640423269240530E-2
5.50999999999999980E7	9.07499549661345210E-2
5.52000000000000050E7	9.04391491860078570E-2
5.52999999999999940E7	9.01315738057263620E-2
5.54000000000000000E7	8.98271787030934910E-2
5.54999999999999980E7	8.95259147873069240E-2
5.56000000000000050E7	8.92277339725684730E-2
5.57000000000000030E7	8.89325891524993930E-2
5.58000000000000010E7	8.86404341753337020E-2
5.58999999999999990E7	8.83512238198609800E-2
5.59999999999999960E7	8.80649137720937070E-2
5.61000000000000030E7	8.77814606026322510E-2
5.62000000000000010E7	8.75008217447048860E-2
5.62999999999999990E7	8.72229554728582460E-2
5.63999999999999970E7	8.69478208822761010E-2
5.65000000000000040E7	8.66753778687057700E-2
5.66000000000000010E7	8.64055871089702170E-2
5.66999999999999990E7	8.61384100420471380E-2
5.67999999999999970E7	8.58738088506946080E-2
5.68999999999999950E7	8.56117464436064960E-2
5.70000000000000020E7	8.53521864380788920E-2
5.71000000000000000E7	8.50950931431700040E-2
5.72000000000000060E7	8.48404315433394980E-2
5.72999999999999950E7	8.45881672825483830E-2
5.74000000000000020E7	8.43382666488068900E-2
5.75000000000000000E7	8.40906965591545230E-2
5.75999999999999980E7	8.38454245450582650E-2
5.77000000000000050E7	8.36024187382157000E-2
5.77999999999999940E7	8.33616478567500610E-2
5.79000000000000000E7	8.31230811917844470E-2
5.79999999999999980E7	8.28866885943828890E-2
5.81000000000000050E7	8.26524404628473870E-2
5.82000000000000030E7	8.24203077303588570E-2
5.83000000000000010E7	8.21902618529512100E-2
5.83999999999999990E7	8.19622747978094250E-2
5.84999999999999960E7	8.17363190318792480E-2
5.86000000000000030E7	8.15123675107807880E-2
5.87000000000000010E7	8.12903936680159410E-2
5.87999999999999990E7	8.10703714044600690E-2
5.88999999999999970E7	8.08522750781302340E-2
5.90000000000000040E7	8.06360794942209050E-2
5.91000000000000010E7	8.04217598953988500E-2
5.91999999999999990E7	8.02092919523500040E-2
5.92999999999999970E7	7.99986517545703180E-2
5.93999999999999950E7	7.97898158013930650E-2
5.95000000000000020E7	7.95827609932464150E-2
5.96000000000000000E7	7.93774646231331180E-2
5.97000000000000060E7	7.91739043683269990E-2
5.97999999999999950E7	7.89720582822788410E-2
5.99000000000000020E7	7.87719047867265590E-2
6.00000000000000000E7	7.85734226640025210E-2
6.00999999999999980E7	7.83765910495332460E-2
6.02000000000000050E7	7.81813894245252250E-2
6.02999999999999940E7	7.79877976088321920E-2
6.04000000000000000E7	7.77957957539979540E-2
6.04999999999999980E7	7.76053643364696820E-2
6.06000000000000050E7	7.74164841509781890E-2
6.07000000000000030E7	7.72291363040779630E-2
6.08000000000000010E7	7.70433022078452100E-2
6.08999999999999990E7	7.68589635737272130E-2
6.09999999999999960E7	7.66761024065400050E-2
6.11000000000000030E7	7.64947009986101100E-2
6.12000000000000010E7	7.63147419240555620E-2
6.12999999999999990E7	7.61362080332030720E-2
6.13999999999999970E7	7.59590824471380090E-2
6.15000000000000040E7	7.57833485523816820E-2
6.16000000000000010E7	7.56089899956949200E-2
