freq	mag(K)
4.41999999999999990E7	1.00889728806669890E0
4.42999999999999970E7	9.93857225173959690E-1
4.43999999999999950E7	9.77657297365304250E-1
4.45000000000000020E7	9.61176605489295000E-1
4.46000000000000000E7	9.43719578361501550E-1
4.47000000000000060E7	9.26958717310613880E-1
4.47999999999999950E7	9.10095407952505830E-1
4.49000000000000020E7	8.92738239174775570E-1
4.50000000000000000E7	8.75353847787926930E-1
4.50999999999999980E7	8.58896410327304770E-1
4.52000000000000050E7	8.43398953078906470E-1
4.52999999999999940E7	8.27259178808736450E-1
4.54000000000000000E7	8.11496648871837320E-1
4.54999999999999980E7	7.96575739901992020E-1
4.56000000000000050E7	7.81832655330395720E-1
4.57000000000000030E7	7.66846384036454860E-1
4.58000000000000010E7	7.52265996307345560E-1
4.58999999999999990E7	7.38335865729593890E-1
4.59999999999999960E7	7.24858850253148020E-1
4.61000000000000030E7	7.11072746519727340E-1
4.62000000000000010E7	6.97529147824811790E-1
4.62999999999999990E7	6.84540405070507600E-1
4.63999999999999970E7	6.72135242586335750E-1
4.65000000000000040E7	6.59590416956615670E-1
4.66000000000000010E7	6.47539442125802540E-1
4.66999999999999990E7	6.35979793661943480E-1
4.67999999999999970E7	6.24771231750253260E-1
4.68999999999999950E7	6.13337779591272090E-1
4.70000000000000020E7	6.02426720464899470E-1
4.71000000000000000E7	5.92055247176687250E-1
4.72000000000000060E7	5.81918132544910090E-1
4.72999999999999950E7	5.71827332106532270E-1
4.74000000000000020E7	5.62131970894731750E-1
4.75000000000000000E7	5.52893930057811640E-1
4.75999999999999980E7	5.43740032679213310E-1
4.77000000000000050E7	5.34747238887016160E-1
4.77999999999999940E7	5.26160545972911730E-1
4.79000000000000000E7	5.17849758298432490E-1
4.79999999999999980E7	5.09632881386047480E-1
4.81000000000000050E7	5.01804624433465210E-1
4.82000000000000030E7	4.94222973470451250E-1
4.83000000000000010E7	4.86692019088814030E-1
4.83999999999999990E7	4.79443803160910240E-1
4.84999999999999960E7	4.72440832697048490E-1
4.86000000000000030E7	4.65523458706628550E-1
4.87000000000000010E7	4.58831774153022030E-1
4.87999999999999990E7	4.52350533944674100E-1
4.88999999999999970E7	4.46136672766951040E-1
4.90000000000000040E7	4.40130050314685750E-1
4.91000000000000010E7	4.34185108897060880E-1
4.91999999999999990E7	4.28487403979721380E-1
4.92999999999999970E7	4.22891350338377410E-1
4.93999999999999950E7	4.17293191124034910E-1
4.95000000000000020E7	4.12020042025944200E-1
4.96000000000000000E7	4.06872695080235140E-1
4.97000000000000060E7	4.01666036026007320E-1
4.97999999999999950E7	3.96693236123754690E-1
4.99000000000000020E7	3.91803148488570720E-1
5.00000000000000000E7	3.86936829251801220E-1
5.00999999999999980E7	3.85196034052206840E-1
5.02000000000000050E7	3.83476562955751680E-1
5.02999999999999940E7	3.81778041091035680E-1
5.04000000000000000E7	3.80100101920412660E-1
5.04999999999999980E7	3.78442387023329150E-1
5.06000000000000050E7	3.76804545885809270E-1
5.07000000000000030E7	3.75186235695920440E-1
5.08000000000000010E7	3.73587121145046020E-1
5.08999999999999990E7	3.72006874234799460E-1
5.09999999999999960E7	3.70445174089417950E-1
5.11000000000000030E7	3.68901706773478730E-1
5.12000000000000010E7	3.67376165114782260E-1
5.12999999999999990E7	3.65868248532251480E-1
5.13999999999999970E7	3.64377662868703300E-1
5.15000000000000040E7	3.62904120228344240E-1
5.16000000000000010E7	3.61447338818857580E-1
5.16999999999999990E7	3.60007042797940670E-1
5.17999999999999970E7	3.58582962124164560E-1
5.18999999999999950E7	3.57174832412027370E-1
5.20000000000000020E7	3.55782394791074320E-1
5.21000000000000000E7	3.54405395768967900E-1
5.22000000000000060E7	3.53043587098387010E-1
5.22999999999999950E7	3.51696725647641100E-1
5.24000000000000020E7	3.50364573274891680E-1
5.25000000000000000E7	3.49046896705871750E-1
5.25999999999999980E7	3.47743467414995780E-1
5.27000000000000050E7	3.46454061509765940E-1
5.27999999999999940E7	3.45178459618367390E-1
5.29000000000000000E7	3.43916446780367570E-1
5.29999999999999980E7	3.42667812340416590E-1
5.31000000000000050E7	3.41432349844867430E-1
5.32000000000000030E7	3.40209856941224850E-1
5.33000000000000010E7	3.39000135280338010E-1
5.33999999999999990E7	3.37802990421258900E-1
5.34999999999999960E7	3.36618231738684240E-1
5.36000000000000030E7	3.35445672332903740E-1
5.37000000000000010E7	3.34285128942184380E-1
5.37999999999999990E7	3.33136421857512750E-1
5.38999999999999970E7	3.31999374839631090E-1
5.40000000000000040E7	3.30873815038294650E-1
5.41000000000000010E7	3.29759572913688980E-1
5.41999999999999990E7	3.28656482159940120E-1
5.42999999999999970E7	3.27564379630658430E-1
5.43999999999999950E7	3.26483105266454790E-1
5.45000000000000020E7	3.25412502024372060E-1
5.46000000000000000E7	3.24352415809176440E-1
5.47000000000000060E7	3.23302695406452440E-1
5.47999999999999950E7	3.22263192417451320E-1
5.49000000000000020E7	3.21233761195640270E-1
5.50000000000000000E7	3.20214258784903190E-1
5.50999999999999980E7	3.19204544859346220E-1
5.52000000000000050E7	3.18204481664660350E-1
5.52999999999999940E7	3.17213933960996510E-1
5.54000000000000000E7	3.16232768967311230E-1
5.54999999999999980E7	3.15260856307138400E-1
5.56000000000000050E7	3.14298067955745970E-1
5.57000000000000030E7	3.13344278188641790E-1
5.58000000000000010E7	3.12399363531386020E-1
5.58999999999999990E7	3.11463202710673670E-1
5.59999999999999960E7	3.10535676606653690E-1
5.61000000000000030E7	3.09616668206447840E-1
5.62000000000000010E7	3.08706062558833640E-1
5.62999999999999990E7	3.07803746730063030E-1
5.63999999999999970E7	3.06909609760781250E-1
5.65000000000000040E7	3.06023542624015120E-1
5.66000000000000010E7	3.05145438184203590E-1
5.66999999999999990E7	3.04275191157240780E-1
5.67999999999999970E7	3.03412698071498180E-1
5.68999999999999950E7	3.02557857229807730E-1
5.70000000000000020E7	3.01710568672373200E-1
5.71000000000000000E7	3.00870734140583180E-1
5.72000000000000060E7	3.00038257041707770E-1
5.72999999999999950E7	2.99213042414446040E-1
5.74000000000000020E7	2.98394996895309020E-1
5.75000000000000000E7	2.97584028685808470E-1
5.75999999999999980E7	2.96780047520435140E-1
5.77000000000000050E7	2.95982964635400860E-1
5.77999999999999940E7	2.95192692738127920E-1
5.79000000000000000E7	2.94409145977460750E-1
5.79999999999999980E7	2.93632239914584710E-1
5.81000000000000050E7	2.92861891494630640E-1
5.82000000000000030E7	2.92098019018947720E-1
5.83000000000000010E7	2.91340542118027290E-1
5.83999999999999990E7	2.90589381725057730E-1
5.84999999999999960E7	2.89844460050097960E-1
5.86000000000000030E7	2.89105700554849630E-1
5.87000000000000010E7	2.88373027928013140E-1
5.87999999999999990E7	2.87646368061211840E-1
5.88999999999999970E7	2.86925648025473290E-1
5.90000000000000040E7	2.86210796048245440E-1
5.91000000000000010E7	2.85501741490941980E-1
5.91999999999999990E7	2.84798414826995970E-1
5.92999999999999970E7	2.84100747620414750E-1
5.93999999999999950E7	2.83408672504818120E-1
5.95000000000000020E7	2.82722123162951270E-1
5.96000000000000000E7	2.82041034306658170E-1
5.97000000000000060E7	2.81365341657301920E-1
5.97999999999999950E7	2.80694981926626630E-1
5.99000000000000020E7	2.80029892798041360E-1
6.00000000000000000E7	2.79370012908323820E-1
6.00999999999999980E7	2.78715281829725650E-1
6.02000000000000050E7	2.78065640052474980E-1
6.02999999999999940E7	2.77421028967662590E-1
